"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","batch_size","dropout","embedding_dim","hidden_dim","lang","n_layers","train_accuracy","train_loss","val_accuracy","val_loss"
"classic-sweep-412","2022-01-26T06:07:26.000Z","147","2022-01-26T06:09:53.000Z","rqtneqcj","-","finished","2022-01-26T06:09:53.000Z","","128","0.2","50","512","en","3","0.9543566030911206","0.1417017287137557","0.9106887227612532","0.2970361476764083"
"chocolate-sweep-95","2022-01-25T20:41:39.000Z","245","2022-01-25T20:45:44.000Z","73b4nd0n","-","finished","2022-01-25T20:45:44.000Z","","256","0.1","250","256","cs","4","0.9929071605425702","0.021974003845197293","0.9422743709507309","0.24553324402989568"
"chocolate-sweep-789","2022-01-26T16:50:01.000Z","68","2022-01-26T16:51:09.000Z","mkhuz5fo","-","finished","2022-01-26T16:51:09.000Z","","64","0.4","150","512","lt","4","0.7361411616426846","0.7427321156939944","0.7254952850592612","0.8033897399902343"
"chocolate-sweep-71","2022-01-25T20:10:50.000Z","56","2022-01-25T20:11:46.000Z","wmduftvs","-","finished","2022-01-25T20:11:46.000Z","","64","0.2","250","512","lt","3","0.9220249973742254","0.2383017519841323","0.8151224154338611","0.5822460770606994"
"chocolate-sweep-53","2022-01-25T19:48:28.000Z","19","2022-01-25T19:48:47.000Z","6pbxmy43","-","finished","2022-01-25T19:48:47.000Z","","64","0.2","250","64","ta","4","0.45884025912466425","1.6832642214638849","0.4758511480601742","1.6956579089164734"
"chocolate-sweep-289","2022-01-26T02:32:32.000Z","68","2022-01-26T02:33:40.000Z","szo42uvd","-","finished","2022-01-26T02:33:40.000Z","","256","0.1","250","256","en","3","0.984617715777228","0.05054328005228724","0.9074280260855734","0.3625541105866432"
"chocolate-sweep-110","2022-01-25T21:02:56.000Z","120","2022-01-25T21:04:56.000Z","jkqr5la5","-","finished","2022-01-25T21:04:56.000Z","","256","0.4","200","256","es","4","0.9563560961834136","0.1396409027012331","0.9456527015874556","0.1769027305500848"
"charmed-sweep-85","2022-01-25T20:28:23.000Z","15","2022-01-25T20:28:38.000Z","x6vjujow","-","finished","2022-01-25T20:28:38.000Z","","256","0.2","50","256","ta","3","0.30320745773423924","2.0858222246170044","0.3167062549485352","2.051159620285034"
"charmed-sweep-24","2022-01-25T19:05:06.000Z","92","2022-01-25T19:06:38.000Z","bx3lfpa7","-","finished","2022-01-25T19:06:38.000Z","","64","0.2","150","256","ar","3","0.989838523287271","0.0299203696171033","0.9400983618158016","0.20959984224576217"
"cerulean-sweep-807","2022-01-26T17:16:48.000Z","121","2022-01-26T17:18:49.000Z","npgc9a01","-","finished","2022-01-26T17:18:49.000Z","","256","0.4","200","64","cs","3","0.9736944907460828","0.08426056427458313","0.9433918437044848","0.18454365834996503"
"cerulean-sweep-783","2022-01-26T16:41:56.000Z","19","2022-01-26T16:42:15.000Z","0morx0ei","-","finished","2022-01-26T16:42:15.000Z","","256","0.4","150","64","hy","3","0.4709891936824605","1.566827580332756","0.5075573801082292","1.38761305809021"
"cerulean-sweep-594","2022-01-26T11:35:43.000Z","516","2022-01-26T11:44:19.000Z","206dukpj","-","finished","2022-01-26T11:44:19.000Z","","256","0.2","200","512","cs","4","0.9790884964487144","0.06246700000726372","0.9441828637436592","0.1828386525850038"
"cerulean-sweep-433","2022-01-26T06:40:06.000Z","55","2022-01-26T06:41:01.000Z","4x2tddj3","-","finished","2022-01-26T06:41:01.000Z","","64","0.4","50","512","hy","4","0.2545540909630685","2.274341821670532","0.27673073334577347","2.2160474061965942"
"cerulean-sweep-381","2022-01-26T05:10:01.000Z","55","2022-01-26T05:10:56.000Z","4yhh11fk","-","finished","2022-01-26T05:10:56.000Z","","128","0.1","150","512","lt","3","0.8615061443125722","0.4288306942111568","0.7921965567955706","0.6523113965988159"
"celestial-sweep-529","2022-01-26T09:39:11.000Z","34","2022-01-26T09:39:45.000Z","t425hage","-","finished","2022-01-26T09:39:45.000Z","","64","0.2","250","512","af","3","0.959491355402136","0.13568360181081862","0.9140492759074668","0.31452227383852005"
"celestial-sweep-246","2022-01-26T01:23:37.000Z","61","2022-01-26T01:24:38.000Z","aw7do6is","-","finished","2022-01-26T01:24:38.000Z","","128","0.4","250","64","en","4","0.9413742875856608","0.20377851901005725","0.9068713217750914","0.3209709348157048"
"celestial-sweep-127","2022-01-25T21:28:20.000Z","60","2022-01-25T21:29:20.000Z","lt02m87k","-","finished","2022-01-25T21:29:20.000Z","","64","0.1","50","64","ar","3","0.971392897149916","0.0908955133606478","0.9383292644092984","0.18699083878443792"
"celestial-sweep-102","2022-01-25T20:53:13.000Z","17","2022-01-25T20:53:30.000Z","fl0wlmic","-","finished","2022-01-25T20:53:30.000Z","","128","0.4","50","256","ta","3","0.3498182967293411","1.9578029215335848","0.36896278701504354","1.925374150276184"
"brisk-sweep-93","2022-01-25T20:35:33.000Z","272","2022-01-25T20:40:05.000Z","6hnz0w9n","-","finished","2022-01-25T20:40:05.000Z","","64","0.4","250","256","cs","3","0.9905465879438412","0.02868779609911144","0.9460160212947616","0.2114465666485244"
